country,genre,survey_score,kf_score,survey_source,youtube_views,youtube_matched_videos,youtube_error,youtube_source,trends_interest,trends_source,kf_count,kf_source,export_usd,customs_source,survey_norm,youtube_norm,trends_norm,L2_norm,wa,wb,wg,L3_norm,L1_norm,dsi,genre_weight,weighted_dsi
MY,kwebtoon,58,58,sample_baseline,0,0,search_http_429,youtube_api,17.0,trends_api,35,kf_api,,,61.53846153846154,50.0,58.333333333333336,19.35483870967742,0.4,0.35,0.25,56.69871794871795,,34.29239040529363,0.0615,2.1089820099255583
MY,kfood,52,58,sample_baseline,0,0,search_http_429,youtube_api,24.0,trends_api,35,kf_api,13261728.0,customs_api,81.48148148148148,0.0,100.0,19.35483870967742,0.4,0.35,0.25,57.592592592592595,8.38966088543644,21.519800574139964,0.1677,3.608870556283272
MY,kbeauty,65,58,sample_baseline,121514,1,,youtube_api,6.0,trends_api,35,kf_api,27077472.0,customs_api,78.37837837837837,100.0,33.33333333333333,19.35483870967742,0.4,0.35,0.25,74.68468468468468,4.648765416894378,23.06777125828735,0.2165,4.9941724774192116
MY,kfashion,47,58,sample_baseline,0,0,search_http_429,youtube_api,4.0,trends_api,35,kf_api,490460.0,customs_api,77.77777777777779,50.0,57.14285714285714,19.35483870967742,0.4,0.35,0.25,62.8968253968254,0.9944827097127338,18.883058047124674,0.1401,2.6455164324021667
MY,ktourism,39,58,sample_baseline,0,0,search_http_429,youtube_api,5.0,trends_api,35,kf_api,30000.0,sample_kto,50.0,50.0,100.0,19.35483870967742,0.4,0.35,0.25,62.5,8.47457627118644,22.543739748496446,0.056,1.262449425915801
FR,kpop,60,46,sample_baseline,5850385,20,,youtube_api,18.0,trends_api,55,kf_api,,,22.22222222222222,6.322901772349447,29.268292682926827,83.87096774193549,0.4,0.35,0.25,18.418977679942902,,57.69017171713845,0.1228,7.084353086864602
FR,kvideo,44,46,sample_baseline,5092294,1,,youtube_api,2.0,trends_api,55,kf_api,,,22.22222222222222,97.39593753096044,4.0,83.87096774193549,0.4,0.35,0.25,43.977467024725044,,67.91356745505131,0.1287,8.740476131465105
FR,kgame,56,46,sample_baseline,0,0,search_http_429,youtube_api,6.0,trends_api,55,kf_api,,,30.0,0.0,2.8169014084507045,83.87096774193549,0.4,0.35,0.25,12.704225352112676,,55.40427078600636,0.1067,5.911635692866878
FR,kwebtoon,50,46,sample_baseline,0,0,search_http_429,youtube_api,18.0,trends_api,55,kf_api,,,30.76923076923077,50.0,62.5,83.87096774193549,0.4,0.35,0.25,45.43269230769231,,68.49565756823822,0.0615,4.21248294044665
FR,kfood,39,46,sample_baseline,0,0,search_http_429,youtube_api,1.0,trends_api,55,kf_api,2973362.0,customs_api,33.33333333333333,0.0,0.0,83.87096774193549,0.4,0.35,0.25,13.333333333333332,1.7529779539274486,28.704445966211036,0.1677,4.81373558853359
FR,kbeauty,48,46,sample_baseline,0,0,search_http_429,youtube_api,5.0,trends_api,55,kf_api,18598600.0,customs_api,32.432432432432435,0.0,26.666666666666668,83.87096774193549,0.4,0.35,0.25,19.639639639639643,3.033076040840655,30.6057562709289,0.2165,6.626146232656107
FR,kfashion,35,46,sample_baseline,0,0,search_http_429,youtube_api,1.0,trends_api,55,kf_api,588640.0,customs_api,33.33333333333333,50.0,14.285714285714285,83.87096774193549,0.4,0.35,0.25,34.404761904761905,1.1936413345064043,32.639063370786225,0.1401,4.5727327782471505
FR,ktourism,44,46,sample_baseline,0,0,search_http_429,youtube_api,1.0,trends_api,55,kf_api,25000.0,sample_kto,72.72727272727273,50.0,20.0,83.87096774193549,0.4,0.35,0.25,51.59090909090909,6.779661016949152,38.86930264923704,0.056,2.176680948357274
GB,kpop,58,44,sample_baseline,11434335,21,,youtube_api,10.0,trends_api,30,kf_api,,,16.666666666666664,12.357849447025677,9.75609756097561,3.225806451612903,0.4,0.35,0.25,13.430938363369554,,7.307859216315564,0.1228,0.8974051117635513
GB,kvideo,43,44,sample_baseline,5228446,2,,youtube_api,4.0,trends_api,30,kf_api,,,19.444444444444446,100.0,12.0,3.225806451612903,0.4,0.35,0.25,45.77777777777778,,20.246594982078854,0.1287,2.6057367741935487
GB,kgame,55,44,sample_baseline,0,0,search_http_429,youtube_api,12.0,trends_api,30,kf_api,,,25.0,0.0,11.267605633802818,3.225806451612903,0.4,0.35,0.25,12.816901408450704,,7.062244434348024,0.1067,0.7535414811449341
GB,kwebtoon,47,44,sample_baseline,0,0,search_http_429,youtube_api,4.0,trends_api,30,kf_api,,,19.230769230769234,50.0,4.166666666666666,3.225806451612903,0.4,0.35,0.25,26.23397435897436,,12.429073614557486,0.0615,0.7643880272952854
GB,kfood,36,44,sample_baseline,0,0,search_http_429,youtube_api,4.0,trends_api,30,kf_api,19038286.0,customs_api,22.22222222222222,0.0,13.043478260869565,3.225806451612903,0.4,0.35,0.25,12.14975845410628,12.115926444172562,9.455656848391408,0.1677,1.585713653475239
GB,kbeauty,45,44,sample_baseline,0,0,search_http_429,youtube_api,16.0,trends_api,30,kf_api,80165106.0,customs_api,24.324324324324326,0.0,100.0,3.225806451612903,0.4,0.35,0.25,34.72972972972973,14.764866503646058,15.296121133252846,0.2165,3.3116102253492414
GB,kfashion,32,44,sample_baseline,0,0,search_http_429,youtube_api,2.0,trends_api,30,kf_api,468728.0,customs_api,22.22222222222222,50.0,28.57142857142857,3.225806451612903,0.4,0.35,0.25,33.53174603174603,0.9503992381908754,8.149290760928515,0.1401,1.1417156356060851
GB,ktourism,40,44,sample_baseline,0,0,search_http_429,youtube_api,2.0,trends_api,30,kf_api,25000.0,sample_kto,54.54545454545454,50.0,40.0,3.225806451612903,0.4,0.35,0.25,49.31818181818181,6.779661016949152,14.22120880759481,0.056,0.7963876932253093
BR,kpop,76,55,sample_baseline,6102520,20,,youtube_api,47.0,trends_api,40,kf_api,,,66.66666666666666,6.595400905034103,100.0,35.483870967741936,0.4,0.35,0.25,53.9750569834286,,42.8803453740166,0.1228,5.265706411929239
BR,kvideo,52,55,sample_baseline,0,0,search_http_429,youtube_api,1.0,trends_api,40,kf_api,,,44.44444444444444,0.0,0.0,35.483870967741936,0.4,0.35,0.25,17.77777777777778,,28.40143369175627,0.1287,3.6552645161290322
BR,kgame,62,55,sample_baseline,0,0,search_http_429,youtube_api,4.0,trends_api,40,kf_api,,,60.0,0.0,0.0,35.483870967741936,0.4,0.35,0.25,24.0,,30.89032258064516,0.1067,3.2959974193548387
BR,kwebtoon,54,55,sample_baseline,0,0,search_http_429,youtube_api,3.0,trends_api,40,kf_api,,,46.15384615384615,50.0,0.0,35.483870967741936,0.4,0.35,0.25,35.96153846153847,,35.67493796526055,0.0615,2.1940086848635234
BR,kfood,40,55,sample_baseline,0,0,search_http_429,youtube_api,1.0,trends_api,40,kf_api,899976.0,customs_api,37.03703703703704,0.0,0.0,35.483870967741936,0.4,0.35,0.25,14.814814814814817,0.41550556262355204,13.81587703459732,0.1677,2.3169225787019703
BR,kbeauty,51,55,sample_baseline,0,0,search_http_429,youtube_api,1.0,trends_api,40,kf_api,20518684.0,customs_api,40.54054054054054,0.0,0.0,35.483870967741936,0.4,0.35,0.25,16.216216216216218,3.398957176908134,15.58788312201989,0.2165,3.3747766959173062
BR,kfashion,37,55,sample_baseline,0,0,search_http_429,youtube_api,0.0,trends_api,40,kf_api,10278.0,customs_api,40.74074074074074,50.0,0.0,35.483870967741936,0.4,0.35,0.25,33.7962962962963,0.02043110275944032,17.41463610096156,0.1401,2.4397905177447146
BR,ktourism,36,55,sample_baseline,0,0,search_http_429,youtube_api,0.0,trends_api,40,kf_api,15000.0,sample_kto,36.36363636363637,50.0,0.0,35.483870967741936,0.4,0.35,0.25,32.04545454545455,3.389830508474576,18.749167453650777,0.056,1.0499533774044436
AR,kpop,68,43,sample_baseline,4086869,8,,youtube_api,44.0,trends_api,60,kf_api,,,44.44444444444444,4.41695225928892,92.6829268292683,100.0,0.4,0.35,0.25,42.494442775845975,,76.99777711033839,0.1228,9.455327029149554
AR,kvideo,45,43,sample_baseline,5092294,1,,youtube_api,1.0,trends_api,60,kf_api,,,25.0,97.39593753096044,0.0,100.0,0.4,0.35,0.25,44.08857813583615,,77.63543125433446,0.1287,9.991680002432846
